Date,USD (PM),dis
2019-02-01,1318.7,873 days
2019-02-02,1312.15,874 days
2019-02-03,1312.15,875 days
2019-02-04,1312.15,876 days
2019-02-05,1314.2,877 days
2019-02-06,1312.4,878 days
2019-02-07,1310.0,879 days
2019-02-08,1314.85,880 days
2019-02-09,1306.4,881 days
2019-02-10,1306.4,882 days
2019-02-11,1306.4,883 days
2019-02-12,1310.0,884 days
2019-02-13,1312.8,885 days
2019-02-14,1311.45,886 days
2019-02-15,1316.55,887 days
2019-02-16,1325.5,888 days
2019-02-17,1325.5,889 days
2019-02-18,1325.5,890 days
2019-02-19,1334.15,891 days
2019-02-20,1343.75,892 days
2019-02-21,1331.25,893 days
2019-02-22,1329.05,894 days
2019-02-23,1331.05,895 days
2019-02-24,1331.05,896 days
2019-02-25,1331.05,897 days
2019-02-26,1325.05,898 days
2019-02-27,1322.85,899 days
2019-02-28,1319.15,900 days
2019-03-01,1311.95,901 days
2019-03-02,1285.4,902 days
2019-03-03,1285.4,903 days
2019-03-04,1285.4,904 days
2019-03-05,1283.8,905 days
2019-03-06,1285.85,906 days
2019-03-07,1285.3,907 days
2019-03-08,1296.75,908 days
2019-03-09,1292.75,909 days
2019-03-10,1292.75,910 days
2019-03-11,1292.75,911 days
2019-03-12,1297.05,912 days
2019-03-13,1306.95,913 days
2019-03-14,1295.55,914 days
2019-03-15,1303.5,915 days
2019-03-16,1305.6,916 days
2019-03-17,1305.6,917 days
2019-03-18,1305.6,918 days
2019-03-19,1307.7,919 days
2019-03-20,1303.7,920 days
2019-03-21,1309.6,921 days
2019-03-22,1311.3,922 days
2019-03-23,1319.55,923 days
2019-03-24,1319.55,924 days
2019-03-25,1319.55,925 days
2019-03-26,1316.3,926 days
2019-03-27,1309.7,927 days
2019-03-28,1295.15,928 days
2019-03-29,1295.4,929 days
2019-03-30,1293.5,930 days
2019-03-31,1293.5,931 days
2019-04-01,1293.5,932 days
2019-04-02,1290.3,933 days
2019-04-03,1290.45,934 days
2019-04-04,1283.15,935 days
2019-04-05,1288.45,936 days
2019-04-06,1300.0,937 days
2019-04-07,1300.0,938 days
2019-04-08,1300.0,939 days
2019-04-09,1303.0,940 days
2019-04-10,1305.45,941 days
2019-04-11,1298.8,942 days
2019-04-12,1294.3,943 days
2019-04-13,1285.65,944 days
2019-04-14,1285.65,945 days
2019-04-15,1285.65,946 days
2019-04-16,1276.35,947 days
2019-04-17,1275.85,948 days
2019-04-18,1275.7,949 days
2019-04-19,1269.5,950 days
2019-04-20,1269.5,951 days
2019-04-21,1269.5,952 days
2019-04-22,1269.5,953 days
2019-04-23,1269.5,954 days
2019-04-24,1271.65,955 days
2019-04-25,1280.8,956 days
2019-04-26,1284.2,957 days
2019-04-27,1279.5,958 days
2019-04-28,1279.5,959 days
2019-04-29,1279.5,960 days
2019-04-30,1282.3,961 days
2019-05-01,1283.8,962 days
2019-05-02,1270.95,963 days
2019-05-03,1278.55,964 days
2019-05-04,1281.2,965 days
2019-05-05,1281.2,966 days
2019-05-06,1281.2,967 days
2019-05-07,1281.2,968 days
2019-05-08,1285.2,969 days
2019-05-09,1286.1,970 days
2019-05-10,1287.1,971 days
2019-05-11,1295.6,972 days
2019-05-12,1295.6,973 days
2019-05-13,1295.6,974 days
2019-05-14,1298.4,975 days
2019-05-15,1299.1,976 days
2019-05-16,1291.7,977 days
2019-05-17,1280.8,978 days
2019-05-18,1276.85,979 days
2019-05-19,1276.85,980 days
2019-05-20,1276.85,981 days
2019-05-21,1271.15,982 days
2019-05-22,1273.8,983 days
2019-05-23,1283.65,984 days
2019-05-24,1282.5,985 days
2019-05-25,1278.3,986 days
2019-05-26,1278.3,987 days
2019-05-27,1278.3,988 days
2019-05-28,1278.3,989 days
2019-05-29,1281.65,990 days
2019-05-30,1280.95,991 days
2019-05-31,1295.55,992 days
2019-06-01,1317.1,993 days
2019-06-02,1317.1,994 days
2019-06-03,1317.1,995 days
2019-06-04,1324.25,996 days
2019-06-05,1335.05,997 days
2019-06-06,1335.5,998 days
2019-06-07,1340.65,999 days
2019-06-08,1328.6,1000 days
2019-06-09,1328.6,1001 days
2019-06-10,1328.6,1002 days
2019-06-11,1324.3,1003 days
2019-06-12,1332.35,1004 days
2019-06-13,1335.9,1005 days
2019-06-14,1351.25,1006 days
2019-06-15,1341.3,1007 days
2019-06-16,1341.3,1008 days
2019-06-17,1341.3,1009 days
2019-06-18,1341.35,1010 days
2019-06-19,1344.05,1011 days
2019-06-20,1379.5,1012 days
2019-06-21,1397.15,1013 days
2019-06-22,1405.7,1014 days
2019-06-23,1405.7,1015 days
2019-06-24,1405.7,1016 days
2019-06-25,1431.4,1017 days
2019-06-26,1403.95,1018 days
2019-06-27,1402.5,1019 days
2019-06-28,1409.0,1020 days
2019-06-29,1390.1,1021 days
2019-06-30,1390.1,1022 days
2019-07-01,1390.1,1023 days
2019-07-02,1391.05,1024 days
2019-07-03,1413.5,1025 days
2019-07-04,1414.9,1026 days
2019-07-05,1388.65,1027 days
2019-07-06,1400.1,1028 days
2019-07-07,1400.1,1029 days
2019-07-08,1400.1,1030 days
2019-07-09,1391.55,1031 days
2019-07-10,1408.3,1032 days
2019-07-11,1413.75,1033 days
2019-07-12,1407.6,1034 days
2019-07-13,1412.4,1035 days
2019-07-14,1412.4,1036 days
2019-07-15,1412.4,1037 days
2019-07-16,1409.85,1038 days
2019-07-17,1410.35,1039 days
2019-07-18,1417.45,1040 days
2019-07-19,1439.7,1041 days
2019-07-20,1427.75,1042 days
2019-07-21,1427.75,1043 days
2019-07-22,1427.75,1044 days
2019-07-23,1425.55,1045 days
2019-07-24,1426.95,1046 days
2019-07-25,1416.1,1047 days
2019-07-26,1420.4,1048 days
2019-07-27,1419.05,1049 days
2019-07-28,1419.05,1050 days
2019-07-29,1419.05,1051 days
2019-07-30,1425.9,1052 days
2019-07-31,1427.55,1053 days
2019-08-01,1406.8,1054 days
2019-08-02,1441.75,1055 days
2019-08-03,1465.25,1056 days
2019-08-04,1465.25,1057 days
2019-08-05,1465.25,1058 days
2019-08-06,1465.25,1059 days
2019-08-07,1506.05,1060 days
2019-08-08,1495.75,1061 days
2019-08-09,1497.7,1062 days
2019-08-10,1504.7,1063 days
2019-08-11,1504.7,1064 days
2019-08-12,1504.7,1065 days
2019-08-13,1498.4,1066 days
2019-08-14,1513.25,1067 days
2019-08-15,1515.65,1068 days
2019-08-16,1515.25,1069 days
2019-08-17,1496.6,1070 days
2019-08-18,1496.6,1071 days
2019-08-19,1496.6,1072 days
2019-08-20,1504.55,1073 days
2019-08-21,1503.25,1074 days
2019-08-22,1502.05,1075 days
2019-08-23,1503.8,1076 days
2019-08-24,1532.95,1077 days
2019-08-25,1532.95,1078 days
2019-08-26,1532.95,1079 days
2019-08-27,1532.95,1080 days
2019-08-28,1537.15,1081 days
2019-08-29,1540.2,1082 days
2019-08-30,1528.4,1083 days
2019-08-31,1525.95,1084 days
2019-09-01,1525.95,1085 days
2019-09-02,1525.95,1086 days
2019-09-03,1537.85,1087 days
2019-09-04,1546.1,1088 days
2019-09-05,1529.1,1089 days
2019-09-06,1523.7,1090 days
2019-09-07,1509.2,1091 days
2019-09-08,1509.2,1092 days
2019-09-09,1509.2,1093 days
2019-09-10,1498.25,1094 days
2019-09-11,1490.65,1095 days
2019-09-12,1515.2,1096 days
2019-09-13,1503.1,1097 days
2019-09-14,1497.2,1098 days
2019-09-15,1497.2,1099 days
2019-09-16,1497.2,1100 days
2019-09-17,1502.1,1101 days
2019-09-18,1503.5,1102 days
2019-09-19,1500.7,1103 days
2019-09-20,1501.9,1104 days
2019-09-21,1522.1,1105 days
2019-09-22,1522.1,1106 days
2019-09-23,1522.1,1107 days
2019-09-24,1520.65,1108 days
2019-09-25,1528.75,1109 days
2019-09-26,1506.4,1110 days
2019-09-27,1489.9,1111 days
2019-09-28,1485.3,1112 days
2019-09-29,1485.3,1113 days
2019-09-30,1485.3,1114 days
2019-10-01,1473.45,1115 days
2019-10-02,1492.6,1116 days
2019-10-03,1517.1,1117 days
2019-10-04,1499.15,1118 days
2019-10-05,1501.25,1119 days
2019-10-06,1501.25,1120 days
2019-10-07,1501.25,1121 days
2019-10-08,1505.85,1122 days
2019-10-09,1507.25,1123 days
2019-10-10,1494.8,1124 days
2019-10-11,1479.15,1125 days
2019-10-12,1490.6,1126 days
2019-10-13,1490.6,1127 days
2019-10-14,1490.6,1128 days
2019-10-15,1487.8,1129 days
2019-10-16,1485.1,1130 days
2019-10-17,1492.65,1131 days
2019-10-18,1490.0,1132 days
2019-10-19,1491.65,1133 days
2019-10-20,1491.65,1134 days
2019-10-21,1491.65,1135 days
2019-10-22,1485.35,1136 days
2019-10-23,1494.45,1137 days
2019-10-24,1496.55,1138 days
2019-10-25,1513.45,1139 days
2019-10-26,1492.4,1140 days
2019-10-27,1492.4,1141 days
2019-10-28,1492.4,1142 days
2019-10-29,1486.75,1143 days
2019-10-30,1492.1,1144 days
2019-10-31,1510.95,1145 days
2019-11-01,1508.8,1146 days
2019-11-02,1509.45,1147 days
2019-11-03,1509.45,1148 days
2019-11-04,1509.45,1149 days
2019-11-05,1488.95,1150 days
2019-11-06,1486.05,1151 days
2019-11-07,1484.25,1152 days
2019-11-08,1464.15,1153 days
2019-11-09,1458.7,1154 days
2019-11-10,1458.7,1155 days
2019-11-11,1458.7,1156 days
2019-11-12,1452.05,1157 days
2019-11-13,1462.9,1158 days
2019-11-14,1466.65,1159 days
2019-11-15,1466.9,1160 days
2019-11-16,1467.65,1161 days
2019-11-17,1467.65,1162 days
2019-11-18,1467.65,1163 days
2019-11-19,1468.45,1164 days
2019-11-20,1471.7,1165 days
2019-11-21,1467.05,1166 days
2019-11-22,1464.45,1167 days
2019-11-23,1458.4,1168 days
2019-11-24,1458.4,1169 days
2019-11-25,1458.4,1170 days
2019-11-26,1454.65,1171 days
2019-11-27,1454.35,1172 days
2019-11-28,1454.65,1173 days
2019-11-29,1460.15,1174 days
2019-11-30,1461.15,1175 days
2019-12-01,1461.15,1176 days
2019-12-02,1461.15,1177 days
2019-12-03,1477.3,1178 days
2019-12-04,1475.1,1179 days
2019-12-05,1475.95,1180 days
2019-12-06,1459.65,1181 days
2019-12-07,1461.7,1182 days
2019-12-08,1461.7,1183 days
2019-12-09,1461.7,1184 days
2019-12-10,1464.95,1185 days
2019-12-11,1466.8,1186 days
2019-12-12,1467.8,1187 days
2019-12-13,1466.6,1188 days
2019-12-14,1477.9,1189 days
2019-12-15,1477.9,1190 days
2019-12-16,1477.9,1191 days
2019-12-17,1475.8,1192 days
2019-12-18,1474.05,1193 days
2019-12-19,1476.7,1194 days
2019-12-20,1479.0,1195 days
2019-12-21,1482.1,1196 days
2019-12-22,1482.1,1197 days
2019-12-23,1482.1,1198 days
2019-12-24,1511.5,1199 days
2019-12-25,1511.5,1200 days
2019-12-26,1511.5,1201 days
2019-12-27,1511.5,1202 days
2019-12-28,1514.75,1203 days
2019-12-29,1514.75,1204 days
2019-12-30,1514.75,1205 days
2019-12-31,1527.1,1206 days
2020-01-01,1527.1,1207 days
2020-01-02,1527.1,1208 days
2020-01-03,1548.75,1209 days
2020-01-04,1573.1,1210 days
2020-01-05,1573.1,1211 days
2020-01-06,1573.1,1212 days
2020-01-07,1567.85,1213 days
2020-01-08,1571.95,1214 days
2020-01-09,1550.75,1215 days
2020-01-10,1553.6,1216 days
2020-01-11,1549.9,1217 days
2020-01-12,1549.9,1218 days
2020-01-13,1549.9,1219 days
2020-01-14,1545.1,1220 days
2020-01-15,1549.0,1221 days
2020-01-16,1554.55,1222 days
2020-01-17,1557.6,1223 days
2020-01-18,1560.15,1224 days
2020-01-19,1560.15,1225 days
2020-01-20,1560.15,1226 days
2020-01-21,1551.3,1227 days
2020-01-22,1556.9,1228 days
2020-01-23,1562.9,1229 days
2020-01-24,1564.3,1230 days
2020-01-25,1580.1,1231 days
2020-01-26,1580.1,1232 days
2020-01-27,1580.1,1233 days
2020-01-28,1574.0,1234 days
2020-01-29,1573.45,1235 days
2020-01-30,1578.25,1236 days
2020-01-31,1584.2,1237 days
2020-02-01,1574.75,1238 days
2020-02-02,1574.75,1239 days
2020-02-03,1574.75,1240 days
2020-02-04,1558.35,1241 days
2020-02-05,1553.3,1242 days
2020-02-06,1563.3,1243 days
2020-02-07,1572.65,1244 days
2020-02-08,1573.2,1245 days
2020-02-09,1573.2,1246 days
2020-02-10,1573.2,1247 days
2020-02-11,1570.5,1248 days
2020-02-12,1563.7,1249 days
2020-02-13,1575.05,1250 days
2020-02-14,1581.4,1251 days
2020-02-15,1580.8,1252 days
2020-02-16,1580.8,1253 days
2020-02-17,1580.8,1254 days
2020-02-18,1589.85,1255 days
2020-02-19,1604.2,1256 days
2020-02-20,1619.0,1257 days
2020-02-21,1643.3,1258 days
2020-02-22,1671.65,1259 days
2020-02-23,1671.65,1260 days
2020-02-24,1671.65,1261 days
2020-02-25,1650.3,1262 days
2020-02-26,1634.9,1263 days
2020-02-27,1652.0,1264 days
2020-02-28,1609.85,1265 days
2020-02-29,1599.65,1266 days
2020-03-01,1599.65,1267 days
2020-03-02,1599.65,1268 days
2020-03-03,1615.5,1269 days
2020-03-04,1641.85,1270 days
2020-03-05,1659.6,1271 days
2020-03-06,1683.65,1272 days
2020-03-07,1672.5,1273 days
2020-03-08,1672.5,1274 days
2020-03-09,1672.5,1275 days
2020-03-10,1655.7,1276 days
2020-03-11,1653.75,1277 days
2020-03-12,1570.7,1278 days
2020-03-13,1562.8,1279 days
2020-03-14,1487.7,1280 days
2020-03-15,1487.7,1281 days
2020-03-16,1487.7,1282 days
2020-03-17,1536.2,1283 days
2020-03-18,1498.2,1284 days
2020-03-19,1474.25,1285 days
2020-03-20,1494.4,1286 days
2020-03-21,1525.4,1287 days
2020-03-22,1525.4,1288 days
2020-03-23,1525.4,1289 days
2020-03-24,1605.75,1290 days
2020-03-25,1605.45,1291 days
2020-03-26,1634.8,1292 days
2020-03-27,1617.3,1293 days
2020-03-28,1618.3,1294 days
2020-03-29,1618.3,1295 days
2020-03-30,1618.3,1296 days
2020-03-31,1608.95,1297 days
2020-04-01,1576.55,1298 days
2020-04-02,1616.8,1299 days
2020-04-03,1613.1,1300 days
2020-04-04,1648.3,1301 days
2020-04-05,1648.3,1302 days
2020-04-06,1648.3,1303 days
2020-04-07,1649.25,1304 days
2020-04-08,1647.8,1305 days
2020-04-09,1680.65,1306 days
2020-04-10,1741.9,1307 days
2020-04-11,1741.9,1308 days
2020-04-12,1741.9,1309 days
2020-04-13,1741.9,1310 days
2020-04-14,1741.9,1311 days
2020-04-15,1718.65,1312 days
2020-04-16,1729.5,1313 days
2020-04-17,1692.55,1314 days
2020-04-18,1686.2,1315 days
2020-04-19,1686.2,1316 days
2020-04-20,1686.2,1317 days
2020-04-21,1682.05,1318 days
2020-04-22,1710.55,1319 days
2020-04-23,1736.25,1320 days
2020-04-24,1715.9,1321 days
2020-04-25,1714.95,1322 days
2020-04-26,1714.95,1323 days
2020-04-27,1714.95,1324 days
2020-04-28,1691.55,1325 days
2020-04-29,1703.35,1326 days
2020-04-30,1702.75,1327 days
2020-05-01,1686.25,1328 days
2020-05-02,1709.1,1329 days
2020-05-03,1709.1,1330 days
2020-05-04,1709.1,1331 days
2020-05-05,1699.55,1332 days
2020-05-06,1691.5,1333 days
2020-05-07,1704.05,1334 days
2020-05-08,1702.75,1335 days
2020-05-09,1702.75,1336 days
2020-05-10,1702.75,1337 days
2020-05-11,1702.75,1338 days
2020-05-12,1702.4,1339 days
2020-05-13,1708.4,1340 days
2020-05-14,1731.6,1341 days
2020-05-15,1735.35,1342 days
2020-05-16,1734.7,1343 days
2020-05-17,1734.7,1344 days
2020-05-18,1734.7,1345 days
2020-05-19,1737.95,1346 days
2020-05-20,1748.3,1347 days
2020-05-21,1724.9,1348 days
2020-05-22,1733.55,1349 days
2020-05-23,1720.25,1350 days
2020-05-24,1720.25,1351 days
2020-05-25,1720.25,1352 days
2020-05-26,1720.25,1353 days
2020-05-27,1694.6,1354 days
2020-05-28,1717.35,1355 days
2020-05-29,1728.7,1356 days
2020-05-30,1730.6,1357 days
2020-05-31,1730.6,1358 days
2020-06-01,1730.6,1359 days
2020-06-02,1742.15,1360 days
2020-06-03,1705.35,1361 days
2020-06-04,1700.05,1362 days
2020-06-05,1683.45,1363 days
2020-06-06,1690.35,1364 days
2020-06-07,1690.35,1365 days
2020-06-08,1690.35,1366 days
2020-06-09,1713.5,1367 days
2020-06-10,1722.05,1368 days
2020-06-11,1738.25,1369 days
2020-06-12,1733.5,1370 days
2020-06-13,1710.45,1371 days
2020-06-14,1710.45,1372 days
2020-06-15,1710.45,1373 days
2020-06-16,1719.85,1374 days
2020-06-17,1724.35,1375 days
2020-06-18,1719.5,1376 days
2020-06-19,1734.75,1377 days
2020-06-20,1761.85,1378 days
2020-06-21,1761.85,1379 days
2020-06-22,1761.85,1380 days
2020-06-23,1768.9,1381 days
2020-06-24,1766.05,1382 days
2020-06-25,1756.55,1383 days
2020-06-26,1747.6,1384 days
2020-06-27,1771.6,1385 days
2020-06-28,1771.6,1386 days
2020-06-29,1771.6,1387 days
2020-06-30,1768.1,1388 days
2020-07-01,1771.05,1389 days
2020-07-02,1777.45,1390 days
2020-07-03,1772.9,1391 days
2020-07-04,1787.9,1392 days
2020-07-05,1787.9,1393 days
2020-07-06,1787.9,1394 days
2020-07-07,1789.55,1395 days
2020-07-08,1811.1,1396 days
2020-07-09,1812.1,1397 days
2020-07-10,1803.1,1398 days
2020-07-11,1807.5,1399 days
2020-07-12,1807.5,1400 days
2020-07-13,1807.5,1401 days
2020-07-14,1801.9,1402 days
2020-07-15,1804.6,1403 days
2020-07-16,1807.7,1404 days
2020-07-17,1807.35,1405 days
2020-07-18,1815.65,1406 days
2020-07-19,1815.65,1407 days
2020-07-20,1815.65,1408 days
2020-07-21,1842.55,1409 days
2020-07-22,1852.4,1410 days
2020-07-23,1878.3,1411 days
2020-07-24,1902.1,1412 days
2020-07-25,1936.65,1413 days
2020-07-26,1936.65,1414 days
2020-07-27,1936.65,1415 days
2020-07-28,1940.9,1416 days
2020-07-29,1950.9,1417 days
2020-07-30,1957.65,1418 days
2020-07-31,1964.9,1419 days
2020-08-01,1958.55,1420 days
2020-08-02,1958.55,1421 days
2020-08-03,1958.55,1422 days
2020-08-04,1977.9,1423 days
2020-08-05,2048.15,1424 days
2020-08-06,2067.15,1425 days
2020-08-07,2031.15,1426 days
2020-08-08,2044.5,1427 days
2020-08-09,2044.5,1428 days
2020-08-10,2044.5,1429 days
2020-08-11,1939.65,1430 days
2020-08-12,1931.9,1431 days
2020-08-13,1944.25,1432 days
2020-08-14,1944.75,1433 days
2020-08-15,1972.85,1434 days
2020-08-16,1972.85,1435 days
2020-08-17,1972.85,1436 days
2020-08-18,2008.75,1437 days
2020-08-19,1981.0,1438 days
2020-08-20,1927.15,1439 days
2020-08-21,1924.35,1440 days
2020-08-22,1943.95,1441 days
2020-08-23,1943.95,1442 days
2020-08-24,1943.95,1443 days
2020-08-25,1911.15,1444 days
2020-08-26,1932.95,1445 days
2020-08-27,1923.85,1446 days
2020-08-28,1957.35,1447 days
2020-08-29,1972.35,1448 days
2020-08-30,1972.35,1449 days
2020-08-31,1972.35,1450 days
2020-09-01,1972.35,1451 days
2020-09-02,1947.05,1452 days
2020-09-03,1940.45,1453 days
2020-09-04,1926.3,1454 days
2020-09-05,1928.45,1455 days
2020-09-06,1928.45,1456 days
2020-09-07,1928.45,1457 days
2020-09-08,1910.95,1458 days
2020-09-09,1947.2,1459 days
2020-09-10,1966.25,1460 days
2020-09-11,1947.4,1461 days
2020-09-12,1958.7,1462 days
2020-09-13,1958.7,1463 days
2020-09-14,1958.7,1464 days
2020-09-15,1949.35,1465 days
2020-09-16,1961.8,1466 days
2020-09-17,1936.25,1467 days
2020-09-18,1950.85,1468 days
2020-09-19,1909.35,1469 days
2020-09-20,1909.35,1470 days
2020-09-21,1909.35,1471 days
2020-09-22,1906.0,1472 days
2020-09-23,1873.4,1473 days
2020-09-24,1861.75,1474 days
2020-09-25,1859.7,1475 days
2020-09-26,1864.3,1476 days
2020-09-27,1864.3,1477 days
2020-09-28,1864.3,1478 days
2020-09-29,1883.95,1479 days
2020-09-30,1886.9,1480 days
2020-10-01,1902.0,1481 days
2020-10-02,1903.05,1482 days
2020-10-03,1909.6,1483 days
2020-10-04,1909.6,1484 days
2020-10-05,1909.6,1485 days
2020-10-06,1913.4,1486 days
2020-10-07,1884.5,1487 days
2020-10-08,1887.45,1488 days
2020-10-09,1923.25,1489 days
2020-10-10,1925.5,1490 days
2020-10-11,1925.5,1491 days
2020-10-12,1925.5,1492 days
2020-10-13,1891.3,1493 days
2020-10-14,1910.05,1494 days
2020-10-15,1891.9,1495 days
2020-10-16,1905.05,1496 days
2020-10-17,1905.6,1497 days
2020-10-18,1905.6,1498 days
2020-10-19,1905.6,1499 days
2020-10-20,1898.4,1500 days
2020-10-21,1924.15,1501 days
2020-10-22,1900.95,1502 days
2020-10-23,1903.65,1503 days
2020-10-24,1898.45,1504 days
2020-10-25,1898.45,1505 days
2020-10-26,1898.45,1506 days
2020-10-27,1905.7,1507 days
2020-10-28,1869.95,1508 days
2020-10-29,1870.3,1509 days
2020-10-30,1881.85,1510 days
2020-10-31,1889.9,1511 days
2020-11-01,1889.9,1512 days
2020-11-02,1889.9,1513 days
2020-11-03,1908.3,1514 days
2020-11-04,1900.15,1515 days
2020-11-05,1938.45,1516 days
2020-11-06,1940.8,1517 days
2020-11-07,1867.3,1518 days
2020-11-08,1867.3,1519 days
2020-11-09,1867.3,1520 days
2020-11-10,1878.7,1521 days
2020-11-11,1860.95,1522 days
2020-11-12,1874.85,1523 days
2020-11-13,1890.9,1524 days
2020-11-14,1885.6,1525 days
2020-11-15,1885.6,1526 days
2020-11-16,1885.6,1527 days
2020-11-17,1889.05,1528 days
2020-11-18,1876.1,1529 days
2020-11-19,1857.35,1530 days
2020-11-20,1875.7,1531 days
2020-11-21,1840.2,1532 days
2020-11-22,1840.2,1533 days
2020-11-23,1840.2,1534 days
2020-11-24,1799.6,1535 days
2020-11-25,1810.2,1536 days
2020-11-26,1807.4,1537 days
2020-11-27,1779.3,1538 days
2020-11-28,1762.55,1539 days
2020-11-29,1762.55,1540 days
2020-11-30,1762.55,1541 days
2020-12-01,1810.75,1542 days
2020-12-02,1822.6,1543 days
2020-12-03,1832.35,1544 days
2020-12-04,1843.0,1545 days
2020-12-05,1859.95,1546 days
2020-12-06,1859.95,1547 days
2020-12-07,1859.95,1548 days
2020-12-08,1868.15,1549 days
2020-12-09,1841.75,1550 days
2020-12-10,1844.35,1551 days
2020-12-11,1842.0,1552 days
2020-12-12,1831.15,1553 days
2020-12-13,1831.15,1554 days
2020-12-14,1831.15,1555 days
2020-12-15,1850.65,1556 days
2020-12-16,1851.95,1557 days
2020-12-17,1890.75,1558 days
2020-12-18,1879.75,1559 days
2020-12-19,1880.0,1560 days
2020-12-20,1880.0,1561 days
2020-12-21,1880.0,1562 days
2020-12-22,1877.1,1563 days
2020-12-23,1875.0,1564 days
2020-12-24,1874.3,1565 days
2020-12-25,1874.3,1566 days
2020-12-26,1874.3,1567 days
2020-12-27,1874.3,1568 days
2020-12-28,1874.3,1569 days
2020-12-29,1874.3,1570 days
2020-12-30,1887.6,1571 days
2020-12-31,1943.2,1572 days
2021-01-01,1943.2,1573 days
2021-01-02,1943.2,1574 days
2021-01-03,1943.2,1575 days
2021-01-04,1943.2,1576 days
2021-01-05,1940.35,1577 days
2021-01-06,1931.95,1578 days
2021-01-07,1920.1,1579 days
2021-01-08,1862.9,1580 days
2021-01-09,1847.25,1581 days
2021-01-10,1847.25,1582 days
2021-01-11,1847.25,1583 days
2021-01-12,1841.25,1584 days
2021-01-13,1858.85,1585 days
2021-01-14,1841.75,1586 days
2021-01-15,1839.0,1587 days
2021-01-16,1833.05,1588 days
2021-01-17,1833.05,1589 days
2021-01-18,1833.05,1590 days
2021-01-19,1834.7,1591 days
2021-01-20,1856.6,1592 days
2021-01-21,1862.1,1593 days
2021-01-22,1852.7,1594 days
2021-01-23,1856.85,1595 days
2021-01-24,1856.85,1596 days
2021-01-25,1856.85,1597 days
2021-01-26,1856.6,1598 days
2021-01-27,1843.0,1599 days
2021-01-28,1853.7,1600 days
2021-01-29,1863.8,1601 days
2021-01-30,1862.95,1602 days
2021-01-31,1862.95,1603 days
2021-02-01,1862.95,1604 days
2021-02-02,1833.1,1605 days
2021-02-03,1835.45,1606 days
2021-02-04,1785.9,1607 days
2021-02-05,1802.95,1608 days
2021-02-06,1835.25,1609 days
2021-02-07,1835.25,1610 days
2021-02-08,1835.25,1611 days
2021-02-09,1839.6,1612 days
2021-02-10,1842.65,1613 days
2021-02-11,1840.1,1614 days
2021-02-12,1816.35,1615 days
2021-02-13,1817.3,1616 days
2021-02-14,1817.3,1617 days
2021-02-15,1817.3,1618 days
2021-02-16,1794.25,1619 days
2021-02-17,1780.7,1620 days
2021-02-18,1773.15,1621 days
2021-02-19,1786.2,1622 days
2021-02-20,1807.45,1623 days
2021-02-21,1807.45,1624 days
2021-02-22,1807.45,1625 days
2021-02-23,1799.65,1626 days
2021-02-24,1788.0,1627 days
2021-02-25,1779.65,1628 days
2021-02-26,1742.85,1629 days
2021-02-27,1734.15,1630 days
2021-02-28,1734.15,1631 days
2021-03-01,1734.15,1632 days
2021-03-02,1723.85,1633 days
2021-03-03,1711.4,1634 days
2021-03-04,1712.1,1635 days
2021-03-05,1696.25,1636 days
2021-03-06,1687.05,1637 days
2021-03-07,1687.05,1638 days
2021-03-08,1687.05,1639 days
2021-03-09,1716.9,1640 days
2021-03-10,1716.2,1641 days
2021-03-11,1724.25,1642 days
2021-03-12,1704.8,1643 days
2021-03-13,1723.65,1644 days
2021-03-14,1723.65,1645 days
2021-03-15,1723.65,1646 days
2021-03-16,1735.0,1647 days
2021-03-17,1729.65,1648 days
2021-03-18,1725.9,1649 days
2021-03-19,1735.2,1650 days
2021-03-20,1736.15,1651 days
2021-03-21,1736.15,1652 days
2021-03-22,1736.15,1653 days
2021-03-23,1726.2,1654 days
2021-03-24,1730.5,1655 days
2021-03-25,1737.3,1656 days
2021-03-26,1731.8,1657 days
2021-03-27,1705.95,1658 days
2021-03-28,1705.95,1659 days
2021-03-29,1705.95,1660 days
2021-03-30,1683.95,1661 days
2021-03-31,1691.05,1662 days
2021-04-01,1726.05,1663 days
2021-04-02,1744.65,1664 days
2021-04-03,1744.65,1665 days
2021-04-04,1744.65,1666 days
2021-04-05,1744.65,1667 days
2021-04-06,1744.65,1668 days
2021-04-07,1738.05,1669 days
2021-04-08,1755.5,1670 days
2021-04-09,1741.2,1671 days
2021-04-10,1732.85,1672 days
2021-04-11,1732.85,1673 days
2021-04-12,1732.85,1674 days
2021-04-13,1747.95,1675 days
2021-04-14,1735.55,1676 days
2021-04-15,1757.2,1677 days
2021-04-16,1774.45,1678 days
2021-04-17,1774.5,1679 days
2021-04-18,1774.5,1680 days
2021-04-19,1774.5,1681 days
2021-04-20,1777.85,1682 days
2021-04-21,1798.2,1683 days
2021-04-22,1787.75,1684 days
2021-04-23,1781.8,1685 days
2021-04-24,1773.35,1686 days
2021-04-25,1773.35,1687 days
2021-04-26,1773.35,1688 days
2021-04-27,1784.15,1689 days
2021-04-28,1772.2,1690 days
2021-04-29,1762.65,1691 days
2021-04-30,1767.65,1692 days
2021-05-01,1797.75,1693 days
2021-05-02,1797.75,1694 days
2021-05-03,1797.75,1695 days
2021-05-04,1797.75,1696 days
2021-05-05,1782.25,1697 days
2021-05-06,1813.15,1698 days
2021-05-07,1836.55,1699 days
2021-05-08,1840.45,1700 days
2021-05-09,1840.45,1701 days
2021-05-10,1840.45,1702 days
